Nama PBT Dalam ITEGUR,Kod Itegur,Nama PBT Dalam SISPAA,Org Id SISPAA,Nodus SISPAA,Nama db SISPAA,URL Akaun SISPAA,Negeri
Majlis Bandaraya Iskandar Puteri,201302,Majlis Bandaraya Iskandar Puteri,49160,MYGOV.KN3.40.JNJ.PBTJHR.MBIP,sc_johor_mbip,mbip.spab.gov.my,Johor
Majlis Bandaraya Johor Bahru,201301,Majlis Bandaraya Johor Bahru,28568,MYGOV.KN3.40.JNJ.PBTJHR.MBJB,sc_johor_mbjb,mbjb.spab.gov.my,Johor
Majlis Daerah Kota Tinggi,201313,Majlis Daerah Kota Tinggi,28570,MYGOV.KN3.40.JNJ.PBTJHR.MDKT,sc_johor_mdkt,mdkt.spab.gov.my,Johor
Majlis Daerah Labis,201309,Majlis Daerah Labis,28571,MYGOV.KN3.40.JNJ.PBTJHR.MDL,sc_johor_mdl,mdl.spab.gov.my,Johor
Majlis Daerah Mersing,201314,Majlis Daerah Mersing,28572,MYGOV.KN3.40.JNJ.PBTJHR.MDM,sc_johor_mdmersing,mdmersing.spab.gov.my,Johor
Majlis Daerah Pontian,201312,Majlis Daerah Pontian,28573,MYGOV.KN3.40.JNJ.PBTJHR.MDP,sc_johor_mdpontian,mppn.spab.gov.my,Johor
Majlis Daerah Simpang Renggam,201311,Majlis Daerah Simpang Renggam,28575,MYGOV.KN3.40.JNJ.PBTJHR.MDSR,sc_johor_mdsr,mdsr.spab.gov.my,Johor
Majlis Daerah Tangkak,201305,Majlis Daerah Tangkak,28576,MYGOV.KN3.40.JNJ.PBTJHR.MDT,sc_johor_mdt,mdt.spab.gov.my,Johor
Majlis Daerah Yong Peng,201307,Majlis Daerah Yong Peng,28577,MYGOV.KN3.40.JNJ.PBTJHR.MDYP,sc_johor_mdyp,mdyp.spab.gov.my,Johor
Majlis Perbandaran Batu Pahat,201306,Majlis Perbandaran Batu Pahat,28578,MYGOV.KN3.40.JNJ.PBTJHR.MPBP,sc_johor_mpbp,mpbp.spab.gov.my,Johor
Majlis Perbandaran Kluang,201310,Majlis Perbandaran Kluang,28580,MYGOV.KN3.40.JNJ.PBTJHR.MPK,sc_johor_mpkluang,mpkluang.spab.gov.my,Johor
Majlis Perbandaran Kulai,201303,Majlis Perbandaran Kulai,28569,MYGOV.KN3.40.JNJ.PBTJHR.MDK,sc_johor_mpkulai,mpkulai.spab.gov.my,Johor
Majlis Perbandaran Muar,201304,Majlis Perbandaran Muar,28581,MYGOV.KN3.40.JNJ.PBTJHR.MPM,sc_johor_mpm,mpm.spab.gov.my,Johor
Majlis Perbandaran Pasir Gudang,201315,,,,,,Johor
Majlis Perbandaran Pengerang,201316,,,,,,Johor
Majlis Perbandaran Segamat,201308,Majlis Perbandaran Segamat,28574,MYGOV.KN3.40.JNJ.PBTJHR.MDS,sc_johor_mdsegamat,mdsegamat.spab.gov.my,Johor
Majlis Bandaraya Alor Setar,202301,,,,,,Kedah
Majlis Daerah Baling,202304,,,,,,Kedah
Majlis Daerah Bandar Baharu,202311,,,,,,Kedah
Majlis Daerah Padang Terap,202309,,,,,,Kedah
Majlis Daerah Pendang,202308,,,,,,Kedah
Majlis Daerah Sik,202307,,,,,,Kedah
Majlis Daerah Yan,202306,,,,,,Kedah
Majlis Perbandaran Kubang Pasu,202305,,,,,,Kedah
Majlis Perbandaran Kulim,202303,,,,,,Kedah
Majlis Perbandaran Langkawi,202310,,,,,,Kedah
Majlis Perbandaran Sungai Petani,202302,,,,,,Kedah
PBT Taman Perindustrian Hi-Tech Kulim,202312,,,,,,Kedah
Majlis Daerah Bachok,203302,Majlis Daerah Bachok,28686,MYGOV.KN3.42.PBTK.MDB,,,Kelantan
Majlis Daerah Dabong,203306,Majlis Daerah Dabong,42442,MYGOV.KN3.42.PBTK.MDD,,,Kelantan
Majlis Daerah Gua Musang,203303,Majlis Daerah Gua Musang,41320,MYGOV.KN3.42.PBTK.MDGM,,,Kelantan
Majlis Daerah Jeli,203304,Majlis Daerah Jeli,28687,MYGOV.KN3.42.PBTK.MDJ,,,Kelantan
Majlis Daerah Ketereh,203305,Majlis Daerah Ketereh,42443,MYGOV.KN3.42.PBTK.MDK,,,Kelantan
Majlis Daerah Kuala Krai,203307,Majlis Daerah Kuala Krai,46041,MYGOV.KN3.42.PBTK.MDKKRAI,,,Kelantan
Majlis Daerah Machang,203308,Majlis Daerah Machang,41268,MYGOV.KN3.42.PBTK.MDM,,,Kelantan
Majlis Daerah Pasir Mas,203309,Majlis Daerah Pasir Mas,41269,MYGOV.KN3.42.PBTK.MDPM,,,Kelantan
Majlis Daerah Pasir Puteh,203310,Majlis Daerah Pasir Puteh,42366,MYGOV.KN3.42.PBTK.MDPP,,,Kelantan
Majlis Daerah Tanah Merah,203311,Majlis Daerah Tanah Merah,41411,MYGOV.KN3.42.PBTK.MDTM,,,Kelantan
Majlis Daerah Tumpat,203312,Majlis Daerah Tumpat,42367,MYGOV.KN3.42.PBTK.MDT,,,Kelantan
Majlis Perbandaran Kota Bharu-Bandar Raya Islam,203301,,,,,,Kelantan
Majlis Bandaraya Melaka Bersejarah,204301,Majlis Bandaraya Melaka Bersejarah,28707,MYGOV.KN3.43.PBT.MPMBB,,,Melaka
Majlis Perbandaran Alor Gajah,204302,Majlis Perbandaran Alor Gajah,42357,MYGOV.KN3.43.PBT.MPAG,,,Melaka
Majlis Perbandaran Hang Tuah Jaya,204304,Majlis Perbandaran Hang Tuah Jaya,42695,MYGOV.KN3.43.PBT.MPHTJ,,,Melaka
Majlis Perbandaran Jasin,204303,Majlis Perbandaran Jasin,44576,MYGOV.KN3.43.PBT.MPJ,,,Melaka
Majlis Bandaraya Seremban,205301,Majlis Bandaraya Seremban,42358,MYGOV.KN3.44.PBT.MPS,sc_nsembilan_mbseremban,mbseremban.spab.gov.my,N9
Majlis Bandaraya Seremban (Asal Majlis Perbandaran Nilai),205302,,,,,,N9
Majlis Daerah Jelebu,205306,Majlis Daerah Jelebu,42361,MYGOV.KN3.44.PBT.MDJ,sc_nsembilan_mdjelebu,mdjelebu.spab.gov.my,N9
Majlis Daerah Kuala Pilah,205303,Majlis Daerah Kuala Pilah,42363,MYGOV.KN3.44.PBT.MDKP,sc_nsembilan_mdkp,mdkp.spab.gov.my,N9
Majlis Daerah Rembau,205307,Majlis Daerah Rembau,42364,MYGOV.KN3.44.PBT.MDR,sc_nsembilan_mdrembau,mdrembau.spab.gov.my,N9
Majlis Daerah Tampin,205304,Majlis Daerah Tampin,42365,MYGOV.KN3.44.PBT.MDT,sc_nsembilan_mdtampin,mdtampin.spab.gov.my,N9
Majlis Perbandaran Jempol,205308,Majlis Perbandaran Jempol,42362,MYGOV.KN3.44.PBT.MDJL,sc_nsembilan_mpjempol,mpjempol.spab.gov.my,N9
Majlis Perbandaran Port Dickson,205305,Majlis Perbandaran Port Dickson,42359,MYGOV.KN3.44.PBT.MPPD,sc_nsembilan_mppd,mppd.spab.gov.my,N9
Lembaga Pembangunan Tioman,206312,Lembaga Pembangunan Tioman,46129,MYGOV.KN3.45.02.LPTIOMAN,,,Pahang
Majlis Bandaraya Kuantan,206301,Majlis Bandaraya Kuantan,42368,MYGOV.KN3.45.PBT.MPK,sc_pahang_mpkuantan,mpk.spab.gov.my,Pahang
Majlis Daerah Bera,206308,Majlis Daerah Bera,42143,MYGOV.KN3.45.PBT.MDB,sc_pahang_mdbera,mdbera.spab.gov.my,Pahang
Majlis Daerah Cameron Highlands,206306,Majlis Daerah Cameron Highlands,42144,MYGOV.KN3.45.PBT.MDCH,sc_pahang_mdcameron,mdcameron.spab.gov.my,Pahang
Majlis Daerah Jerantut,206311,Majlis Daerah Jerantut,41363,MYGOV.KN3.45.PBT.MDJ,sc_pahang_mdjerantut,mdjerantut.spab.gov.my,Pahang
Majlis Daerah Lipis,206305,Majlis Daerah Lipis,41323,MYGOV.KN3.45.PBT.MDL,sc_pahang_mdlipis,mdlipis.spab.gov.my,Pahang
Majlis Daerah Maran,206309,Majlis Daerah Maran,41364,MYGOV.KN3.45.PBT.MDM,sc_pahang_mdmaran,mdmaran.spab.gov.my,Pahang
Majlis Daerah Pekan,206304,Majlis Daerah Pekan,42145,MYGOV.KN3.45.PBT.MDP,sc_pahang_mdpekan,mdpekan.spab.gov.my,Pahang
Majlis Daerah Raub,206307,Majlis Daerah Raub,42146,MYGOV.KN3.45.PBT.MDR,sc_pahang_mdraub,mdraub.spab.gov.my,Pahang
Majlis Daerah Rompin,206310,Majlis Daerah Rompin,42369,MYGOV.KN3.45.PBT.MDRN,sc_pahang_mdrompin,mdrompin.spab.gov.my,Pahang
Majlis Perbandaran Bentong,206303,Majlis Perbandaran Bentong,42142,MYGOV.KN3.45.PBT.MPB,sc_pahang_mpbentong,mpbentong.spab.gov.my,Pahang
Majlis Perbandaran Temerloh,206302,Majlis Perbandaran Temerloh,41322,MYGOV.KN3.45.PBT.MPT,sc_pahang_mptemerloh,mpt.spab.gov.my,Pahang
Majlis Bandaraya Pulau Pinang,207301,Majlis Bandaraya Pulau Pinang,42371,MYGOV.KN3.46.MPPP,,,Penang
Majlis Perbandaran Seberang Perai,207302,,,,,,Penang
Majlis Bandaraya Ipoh,208301,Majlis Bandaraya Ipoh,42342,MYGOV.KN3.47.PBT01.MBI,,,Perak
Majlis Daerah Batu Gajah,208307,Majlis Daerah Batu Gajah,46023,MYGOV.KN3.47.PBT01.MDBG,,,Perak
Majlis Daerah Gerik,208309,Majlis Daerah Gerik,42346,MYGOV.KN3.47.PBT01.MDG,,,Perak
Majlis Daerah Kampar,208308,Majlis Daerah Kampar,42439,MYGOV.KN3.47.PBT01.MDKP,,,Perak
Majlis Daerah Kerian,208315,Majlis Daerah Kerian,42347,MYGOV.KN3.47.PBT01.MDK,,,Perak
Majlis Daerah Lenggong,208310,Majlis Daerah Lenggong,42350,MYGOV.KN3.47.PBT01.MDL,,,Perak
Majlis Daerah Pengkalan Hulu,208311,Majlis Daerah Pengkalan Hulu,42351,MYGOV.KN3.47.PBT01.MDPH,,,Perak
Majlis Daerah Perak Tengah,208304,Majlis Daerah Perak Tengah,42352,MYGOV.KN3.47.PBT01.MDPT,,,Perak
Majlis Daerah Selama,208306,Majlis Daerah Selama,41261,MYGOV.KN3.47.PBT01.MDS,,,Perak
Majlis Daerah Tanjong Malim,208313,Majlis Daerah Tanjong Malim,41262,MYGOV.KN3.47.PBT01.MDTM,,,Perak
Majlis Daerah Tapah,208312,Majlis Daerah Tapah,41263,MYGOV.KN3.47.PBT01.MDT,,,Perak
Majlis Perbandaran Kuala Kangsar,208305,Majlis Perbandaran Kuala Kangsar,42344,MYGOV.KN3.47.PBT01.MPKK,,,Perak
Majlis Perbandaran Manjung,208303,Majlis Perbandaran Manjung,42343,MYGOV.KN3.47.PBT01.MPM,,,Perak
Majlis Perbandaran Taiping,208302,Majlis Perbandaran Taiping,41822,MYGOV.KN3.47.PBT01.MPT,,,Perak
Majlis Perbandaran Teluk Intan,208314,Majlis Perbandaran Teluk Intan,42345,MYGOV.KN3.47.PBT01.MPTI,sc_perak_mpti,mpti.spab.gov.my,Perak
Majlis Perbandaran Kangar,209301,Majlis Perbandaran Kangar,42341,MYGOV.KN3.48.MPK,,,Perlis
Dewan Bandaraya Kota Kinabalu,312301,Dewan Bandaraya Kota Kinabalu,42153,MYGOV.KN3.51.PBT.DBKK,,,Sabah
Lembaga Bandaran Kudat,312303,,,,,,Sabah
Majlis Daerah Beaufort,312304,Majlis Daerah Beaufort,42154,MYGOV.KN3.51.PBT.MDB,,,Sabah
Majlis Daerah Beluran,312305,Majlis Daerah Beluran,41376,MYGOV.KN3.51.PBT.MDBN,,,Sabah
Majlis Daerah Keningau,312306,Majlis Daerah Keningau,41377,MYGOV.KN3.51.PBT.MDK,,,Sabah
Majlis Daerah Kinabatangan,312307,Majlis Daerah Kinabatangan,42155,MYGOV.KN3.51.PBT.MDKN,,,Sabah
Majlis Daerah Kota Belud,312308,Majlis Daerah Kota Belud,42156,MYGOV.KN3.51.PBT.MDKB,,,Sabah
Majlis Daerah Kota Marudu,312309,Majlis Daerah Kota Marudu,42157,MYGOV.KN3.51.PBT.MDKM,,,Sabah
Majlis Daerah Kuala Penyu,312310,Majlis Daerah Kuala Penyu,42158,MYGOV.KN3.51.PBT.MDKP,,,Sabah
Majlis Daerah Kunak,312311,Majlis Daerah Kunak,42159,MYGOV.KN3.51.PBT.MDKK,,,Sabah
Majlis Daerah Lahad Datu,312312,Majlis Daerah Lahad Datu,42160,MYGOV.KN3.51.PBT.MDLD,,,Sabah
Majlis Daerah Nabawan,312313,Majlis Daerah Nabawan,42161,MYGOV.KN3.51.PBT.MDN,,,Sabah
Majlis Daerah Papar,312314,Majlis Daerah Papar,42207,MYGOV.KN3.51.PBT.MDP,,,Sabah
Majlis Daerah Penampang,312315,Majlis Daerah Penampang,42208,MYGOV.KN3.51.PBT.MDPG,,,Sabah
Majlis Daerah Pitas,312324,Majlis Daerah Pitas,43950,MYGOV.KN3.51.PBT.MDPTS,,,Sabah
Majlis Daerah Putatan,312322,Majlis Daerah Putatan,43035,MYGOV.KN3.51.PBT.MDPT,,,Sabah
Majlis Daerah Ranau,312316,Majlis Daerah Ranau,41595,MYGOV.KN3.51.PBT.MDR,,,Sabah
Majlis Daerah Semporna,312317,Majlis Daerah Semporna,41596,MYGOV.KN3.51.PBT.MDS,,,Sabah
Majlis Daerah Sipitang,312318,Majlis Daerah Sipitang,41597,MYGOV.KN3.51.PBT.MDSG,,,Sabah
Majlis Daerah Tambunan,312319,Majlis Daerah Tambunan,41598,MYGOV.KN3.51.PBT.MDT,,,Sabah
Majlis Daerah Telupid,312323,,,,,,Sabah
Majlis Daerah Tenom,312320,Majlis Daerah Tenom,41599,MYGOV.KN3.51.PBT.MDTM,,,Sabah
Majlis Daerah Tuaran,312321,Majlis Daerah Tuaran,41600,MYGOV.KN3.51.PBT.MDTN,,,Sabah
Majlis Perbandaran Sandakan,312325,Majlis Perbandaran Sandakan,41378,MYGOV.KN3.51.PBT.MPS,,,Sabah
Majlis Perbandaran Tawau,312302,Majlis Perbandaran Tawau,41379,MYGOV.KN3.51.PBT.MPT,,,Sabah
Dewan Bandaraya Kuching Utara,413503,Dewan Bandaraya Kuching Utara,41602,MYGOV.KN3.52.DBKU,,,Sarawak
Lembaga Kemajuan Bintulu Sarawak,413501,,,,,,Sarawak
Majlis Bandaraya Kuching Selatan,413301,Majlis Bandaraya Kuching Selatan,41603,MYGOV.KN3.52.MBKS,,,Sarawak
Majlis Bandaraya Miri,413304,Majlis Bandaraya Miri,41604,MYGOV.KN3.52.MPM,,,Sarawak
Majlis Daerah Bau,413305,Majlis Daerah Bau,41660,MYGOV.KN3.52.MDB,,,Sarawak
Majlis Daerah Betong,413306,Majlis Daerah Betong,41661,MYGOV.KN3.52.MDBG,,,Sarawak
Majlis Daerah Dalat dan Mukah,413307,Majlis Daerah Dalat dan Mukah,41662,MYGOV.KN3.52.MDDM,,,Sarawak
Majlis Daerah Kanowit,413308,Majlis Daerah Kanowit,41663,MYGOV.KN3.52.MDK,,,Sarawak
Majlis Daerah Kapit,413309,Majlis Daerah Kapit,41664,MYGOV.KN3.52.MDKT,,,Sarawak
Majlis Daerah Lawas,413310,Majlis Daerah Lawas,41665,MYGOV.KN3.52.MDL,,,Sarawak
Majlis Daerah Limbang,413311,Majlis Daerah Limbang,41666,MYGOV.KN3.52.MDLG,,,Sarawak
Majlis Daerah Luar Bandar Sibu,413324,Majlis Daerah Luar Bandar Sibu,41667,MYGOV.KN3.52.MDLBS,,,Sarawak
Majlis Daerah Lubok Antu,413312,Majlis Daerah Lubok Antu,41668,MYGOV.KN3.52.MDLA,,,Sarawak
Majlis Daerah Lundu,413313,Majlis Daerah Lundu,41669,MYGOV.KN3.52.MDLU,,,Sarawak
Majlis Daerah Maradong dan Julau,413314,,,,,,Sarawak
Majlis Daerah Marudi,413315,Majlis Daerah Marudi,41671,MYGOV.KN3.52.MDM,,,Sarawak
Majlis Daerah Matu-Daro,413316,,,,,,Sarawak
Majlis Daerah Samarahan,413318,Majlis Daerah Samarahan,41673,MYGOV.KN3.52.MDS,,,Sarawak
Majlis Daerah Saratok,413317,Majlis Daerah Saratok,41674,MYGOV.KN3.52.MDSK,,,Sarawak
Majlis Daerah Sarikei,413320,Majlis Daerah Sarikei,41380,MYGOV.KN3.52.MDSI,,,Sarawak
Majlis Daerah Serian,413319,Majlis Daerah Serian,42574,MYGOV.KN3.51.PBT.MDSE,,,Sarawak
Majlis Daerah Serian,413319,Majlis Daerah Serian,44080,MYGOV.KN3.52.MDSRIAN,,,Sarawak
Majlis Daerah Simunjan,413321,Majlis Daerah Simunjan,41381,MYGOV.KN3.52.MDSJ,,,Sarawak
Majlis Daerah Sri Aman,413322,Majlis Daerah Sri Aman,41675,MYGOV.KN3.52.MDSA,,,Sarawak
Majlis Daerah Subis,413323,Majlis Daerah Subis,41676,MYGOV.KN3.52.MDSS,,,Sarawak
Majlis Perbandaran Padawan,413302,Majlis Perbandaran Padawan,41605,MYGOV.KN3.52.MPP,,,Sarawak
Majlis Perbandaran Sibu,413303,Majlis Perbandaran Sibu,41659,MYGOV.KN3.52.MPS,,,Sarawak
Majlis Bandaraya Petaling Jaya,210302,Majlis Bandaraya Petaling Jaya,42375,MYGOV.KN3.49.PBT.MPPJ,sc_selangor_mbpj,,Selangor
Majlis Bandaraya Shah Alam,210301,Majlis Bandaraya Shah Alam,42370,MYGOV.KN3.49.PBT.MBSA,,,Selangor
Majlis Bandaraya Subang Jaya,210305,Majlis Bandaraya Subang Jaya,42148,MYGOV.KN3.49.PBT.MPSJ,,,Selangor
Majlis Daerah Hulu Selangor,210310,,,,,,Selangor
Majlis Daerah Kuala Selangor,210308,,,,,,Selangor
Majlis Daerah Sabak Bernam,210311,Majlis Daerah Sabak Bernam,42377,MYGOV.KN3.49.PBT.MDSB,,,Selangor
Majlis Perbandaran Ampang Jaya,210304,Majlis Perbandaran Ampang Jaya,42147,MYGOV.KN3.49.PBT.MPAJ,,,Selangor
Majlis Perbandaran Kajang,210307,Majlis Perbandaran Kajang,42372,MYGOV.KN3.49.PBT.MPKJ,,,Selangor
Majlis Perbandaran Klang,210303,Majlis Perbandaran Klang,42373,MYGOV.KN3.49.PBT.MPK,,,Selangor
Majlis Perbandaran Kuala Langat,210309,Majlis Perbandaran Kuala Langat,41354,MYGOV.KN3.49.PBT.MDKL,,,Selangor
Majlis Perbandaran Selayang,210306,Majlis Perbandaran Selayang,42374,MYGOV.KN3.49.PBT.MPS,,,Selangor
Majlis Perbandaran Sepang,210312,Majlis Perbandaran Sepang,42152,MYGOV.KN3.49.PBT.MPSG,,,Selangor
Majlis Bandaraya Kuala Terengganu,211301,Majlis Bandaraya Kuala Terengganu,47620,MYGOV.KN3.50.PBTTRG.MBKTTRG,,,Terengganu
Majlis Daerah Besut,211302,Majlis Daerah Besut,47630,MYGOV.KN3.50.PBTTRG.MDBTRG,,,Terengganu
Majlis Daerah Hulu Terengganu,211305,Majlis Daerah Hulu Terengganu,47627,MYGOV.KN3.50.PBTTRG.MDHTTRG,,,Terengganu
Majlis Daerah Marang,211307,Majlis Daerah Marang,47621,MYGOV.KN3.50.PBTTRG.MDMTRG,,,Terengganu
Majlis Daerah Setiu,211303,Majlis Daerah Setiu,47628,MYGOV.KN3.50.PBTTRG.MDSTRG,,,Terengganu
Majlis Perbandaran Dungun,211304,Majlis Perbandaran Dungun,47623,MYGOV.KN3.50.PBTTRG.MPDTRG,,,Terengganu
Majlis Perbandaran Kemaman,211306,Majlis Perbandaran Kemaman,47622,MYGOV.KN3.50.PBTTRG.MPKTRG,,,Terengganu
Dewan Bandaraya Kuala Lumpur,114301,Dewan Bandaraya Kuala Lumpur,28493,MYGOV.JP3.028.DBKL,,,WP
Perbadanan Labuan,115401,Perbadanan Labuan,42427,MYGOV.JP3.028.PL,sc_kwp_pl,pl.spab.gov.my,WP
Perbadanan Putrajaya,116402,Perbadanan Putrajaya,28496,MYGOV.JP3.028.PP,sc_kwp_ppj,ppj.spab.gov.my,WP
